Date,Open,High,Low,Close,Volume
2018-06-28,92.5346,94.1787,92.4215,93.723,28046267.670292
2018-06-29,94.007,94.9431,93.4361,93.7031,29522252.946105
2018-07-02,93.2207,95.085,93.1234,95.0375,20589043.063561
2018-07-03,95.4762,95.6182,94.0168,94.1221,15438501.562615
2018-07-05,94.5499,94.9521,94.1022,94.7951,19971175.995275
2018-07-06,94.9133,96.3836,94.7108,96.1235,20241872.396133
2018-07-09,96.5891,97.1729,96.2099,96.7808,19165672.437712
2018-07-10,96.9256,97.422,96.7907,97.0458,20303447.874795
2018-07-11,96.1145,97.2593,96.0669,96.9058,20673365.106252
2018-07-12,97.6702,99.2269,97.6306,99.0085,25610306.277941
2018-07-13,99.1872,100.358,98.9093,100.2,25944510.134691
2018-07-16,100.181,100.528,99.3262,99.7038,22927811.294845
2018-07-17,99.4155,101.183,99.1376,100.656,27258102.550717
2018-07-18,100.646,100.746,99.5049,99.9114,31038412.872515
2018-07-19,99.724,100.091,98.7146,99.217,42275282.991361
2018-07-20,102.722,102.84,100.775,100.954,58973367.226991
2018-07-23,100.984,102.78,100.825,102.613,31262595.763179
2018-07-24,103.178,103.387,101.917,102.315,27694720.339119
2018-07-25,102.593,105.61,102.255,105.322,32410837.923617
2018-07-26,105.243,105.471,104.052,104.17,33014946.453329
2018-07-27,104.717,104.717,100.835,102.334,38943117.854952
2018-07-30,101.848,102.185,99.5545,100.151,36483776.314798
2018-07-31,101.173,101.401,100.161,100.775,29103347.299317
2018-08-01,100.726,101.133,100.19,100.964,24866045.794199
2018-08-02,100.181,102.731,99.6341,102.225,27471239.527771
2018-08-03,102.453,102.692,101.49,102.682,19636730.389552
2018-08-06,102.76,103.05,102.215,102.77,21327199.38567
2018-08-07,103.168,103.654,102.81,103.446,16922273.170017
2018-08-08,103.883,104.29,103.337,104.042,16298523.543326
2018-08-09,104.26,104.697,104.15,104.22,14393435.850389
2018-08-10,103.973,104.24,103.01,103.556,19135936.306426
2018-08-13,103.793,104.131,102.741,102.85,19442344.067417
2018-08-14,103.168,104.29,102.682,104.111,17667454.314442
2018-08-15,103.476,103.963,101.888,102.712,31431934.876866
2018-08-16,103.297,103.833,102.364,102.692,22417833.77251
2018-08-17,102.423,102.95,101.758,102.633,18934459.688295
2018-08-20,102.563,102.95,101.56,101.937,18780027.420818
2018-08-21,101.987,102.413,100.945,101.073,23987785.867853
2018-08-22,100.945,102.403,100.875,102.126,18870645.009748
2018-08-23,102.215,103.207,101.937,102.613,19045805.237309
2018-08-24,102.722,103.536,102.613,103.387,18066973.707963
2018-08-27,104.24,104.597,103.496,104.557,20612648.843741
2018-08-28,104.866,105.402,104.737,105.184,20077159.753468
2018-08-29,105.352,106.881,105.194,106.872,21824220.170201
2018-08-30,106.524,107.417,106.295,106.802,23900610.179963
2018-08-31,106.534,107.566,106.375,107.139,24345112.006831
